term,material_system,mode,k,status,pre_count,post_count,overlap_count,jaccard,pre_neighbors,post_neighbors,shared_neighbors
absorption,short_fiber_composite,common_vocab,5,compared,101327,114640,3,0.42857142857142855,absorb; spectrum; solubility; transmittance; spectra,absorb; absorbing; spectra; spectrum; uv_vis,absorb; spectra; spectrum
absorption,short_fiber_composite,common_vocab,10,compared,101327,114640,5,0.3333333333333333,absorb; spectrum; solubility; transmittance; spectra; absorbed; addition; uv_vis; absorbtion; wavelength,absorb; absorbing; spectra; spectrum; uv_vis; transmittance; uv_visible; infrared; reflectivity; transmission,absorb; spectra; spectrum; transmittance; uv_vis
absorption,short_fiber_composite,common_vocab,20,compared,101327,114640,13,0.48148148148148145,absorb; spectrum; solubility; transmittance; spectra; absorbed; addition; uv_vis; absorbtion; wavelength; absorbance; absorp_tion; uv_visible; infrared; emission; property; optical; nir; characteristic; water,absorb; absorbing; spectra; spectrum; uv_vis; transmittance; uv_visible; infrared; reflectivity; transmission; absorbed; reflectance; absorbance; absorp_tion; coefficient_α(ω; ultraviolet_visible; wavelength; visible; characteristic; optical,absorb; absorbance; absorbed; absorp_tion; characteristic; infrared; optical; spectra; spectrum; transmittance; uv_vis; uv_visible; wavelength
adaptation,structural_color_composite,common_vocab,5,compared,6224,8887,1,0.1111111111111111,marginal_adaptation; marginal_integrity; cavity; internal_adaptation; gap,adaption; reproduction; marginal_adaptation; restoration; adaptability,marginal_adaptation
adaptation,structural_color_composite,common_vocab,10,compared,6224,8887,5,0.3333333333333333,marginal_adaptation; marginal_integrity; cavity; internal_adaptation; gap; restoration; marginal_internal; marginal; system; adaptability,adaption; reproduction; marginal_adaptation; restoration; adaptability; jayasooriya_pr; marginal_internal; marginal; intaglio; technique,adaptability; marginal; marginal_adaptation; marginal_internal; restoration
adaptation,structural_color_composite,common_vocab,20,compared,6224,8887,10,0.3333333333333333,marginal_adaptation; marginal_integrity; cavity; internal_adaptation; gap; restoration; marginal_internal; marginal; system; adaptability; marginal_sealing; wall; resin; marginal_seal; microleakage; technique; marginal_leakage; inlay; composite; placement,adaption; reproduction; marginal_adaptation; restoration; adaptability; jayasooriya_pr; marginal_internal; marginal; intaglio; technique; license_http://crea; material; adjustment; indirect_restoration; tivecommons.org/licenses/by/4.0/_permit; marginal_integrity; marginal_discrepancy; marginal_sealing; internal_adaptation; placement,adaptability; internal_adaptation; marginal; marginal_adaptation; marginal_integrity; marginal_internal; marginal_sealing; placement; restoration; technique
brittle_fracture,short_fiber_composite,common_vocab,5,compared,2135,2024,3,0.42857142857142855,brittle; ductile; crack_propagation; brittle_ductile; crack_tip,brittle; ductile; crack_propagation; intergranular_fracture; plastic_deformation,brittle; crack_propagation; ductile
brittle_fracture,short_fiber_composite,common_vocab,10,compared,2135,2024,5,0.3333333333333333,brittle; ductile; crack_propagation; brittle_ductile; crack_tip; fracture; crack_propagate; fracture_mechanic; toughness; plastic_deformation,brittle; ductile; crack_propagation; intergranular_fracture; plastic_deformation; crack_initiation; ductile_brittle; transgranular_fracture; crack_propagate; microvoid_coalescence,brittle; crack_propagate; crack_propagation; ductile; plastic_deformation
brittle_fracture,short_fiber_composite,common_vocab,20,compared,2135,2024,10,0.3333333333333333,brittle; ductile; crack_propagation; brittle_ductile; crack_tip; fracture; crack_propagate; fracture_mechanic; toughness; plastic_deformation; catastrophic_fracture; crack_initiation; intergranular_fracture; fractography; catastrophic_failure; crack; ahead_crack; yielding; quasibrittle; lefm,brittle; ductile; crack_propagation; intergranular_fracture; plastic_deformation; crack_initiation; ductile_brittle; transgranular_fracture; crack_propagate; microvoid_coalescence; crack; brittle_ductile; transgranular; fracture; transgranular_intergranular; microcrack; brittleness; crack_deflection; cleavage_facet; ductile_dimple,brittle; brittle_ductile; crack; crack_initiation; crack_propagate; crack_propagation; ductile; fracture; intergranular_fracture; plastic_deformation
build,short_fiber_composite,common_vocab,5,compared,25165,38380,1,0.1111111111111111,construction; core; create; apply; comprise,design; manufacture; building; construction; fabricate,construction
